19
id;timestamp;type;from;to;amount
ad901393-93fd-45d8-9fed-aa590d055dd5;1710928800;deposit;;05c054e2-a344-492a-bd85-040d6c94e30b;2024
afe700a5-9a10-4082-b506-dae383825416;1710930600;transfer;05c054e2-a344-492a-bd85-040d6c94e30b;90599b00-8f53-4a97-934d-9a2e73a7fb8e;100
6ba3d9e4-441c-407b-8029-9215b4635151;1710934200;withdraw;05c054e2-a344-492a-bd85-040d6c94e30b;;63
7015829e-2ed8-4c54-9eeb-f06d9241cb38;1710928800;deposit;;dee1a9d6-79dc-4cd4-8940-cc671f3cfca2;1147
0db2ee48-746d-4112-9e85-dd46dc334cf6;1710928800;deposit;;3148d01f-5e45-4cf0-91d1-e5821a030ae7;1703
75886e45-390e-4e0f-9b58-77e2af699f90;1713169343;transfer;3148d01f-5e45-4cf0-91d1-e5821a030ae7;2a165ae1-ec7c-4cca-91a5-c66634d6047e;101.101
39b4ce3e-fd56-4d00-b104-ff972c69df89;1712259364;transfer;3148d01f-5e45-4cf0-91d1-e5821a030ae7;90599b00-8f53-4a97-934d-9a2e73a7fb8e;3.32
044a7a85-b7b1-4e75-b212-06f56aa011e6;1711312575;transfer;dee1a9d6-79dc-4cd4-8940-cc671f3cfca2;90599b00-8f53-4a97-934d-9a2e73a7fb8e;99.99
02b45a60-6e2b-4852-8ac7-0131e50e897d;1710928800;deposit;;37d15c1a-ccd5-4dc8-9253-a507aabc094f;1221
10b308da-b0b9-4bfa-bd86-b056a37114b9;1710928801;deposit;;d86a285e-1041-4e9d-9803-ef98f8badfde;1004
28119d1c-6046-45a7-973f-2fa0f0104a01;1710928802;deposit;;9441eda1-968a-45e3-a596-b173eefba0a5;1838
f74a3d33-bb4c-4e39-b791-abd610bd37dd;1710928803;deposit;;90599b00-8f53-4a97-934d-9a2e73a7fb8e;1492
e5e571e8-a81d-4713-83a2-5473729ea866;1710928804;deposit;;927d0369-6060-4b00-a064-32c824888e41;1961
ce878cdc-6e30-4250-b119-50545b82b50c;1712256777;withdraw;927d0369-6060-4b00-a064-32c824888e41;;5
d504f1e2-89e5-4fbf-bd0e-9323b0d44f54;1711618975;withdraw;37d15c1a-ccd5-4dc8-9253-a507aabc094f;;99
f9211652-96b9-4764-a884-ffa71ae50171;1712289886;transfer;3148d01f-5e45-4cf0-91d1-e5821a030ae7;d86a285e-1041-4e9d-9803-ef98f8badfde;42.001
86485cc5-e30d-4415-84a9-ee4657af21a5;1710928800;deposit;;934cea6b-4f4f-4597-b6ee-2f2251243a90;20.20
ec118e6a-e7b1-4c23-aa0d-60cd7e66c035;1711337453;withdraw;dee1a9d6-79dc-4cd4-8940-cc671f3cfca2;;77
d12a45fe-3181-44f0-aacb-9ada099ff623;1712175420;withdraw;2a165ae1-ec7c-4cca-91a5-c66634d6047e;;1
10
id;name;validity_timestamp
05c054e2-a344-492a-bd85-040d6c94e30b;Ivan;2152525235
90599b00-8f53-4a97-934d-9a2e73a7fb8e;Anton;1836992435
dee1a9d6-79dc-4cd4-8940-cc671f3cfca2;Nad9;1711918801
927d0369-6060-4b00-a064-32c824888e41;BoRis;1717362001
934cea6b-4f4f-4597-b6ee-2f2251243a90;Maxim;1750366808
2a165ae1-ec7c-4cca-91a5-c66634d6047e;Faddey;1939669201
9441eda1-968a-45e3-a596-b173eefba0a5;Anastasi9;1831968022
d86a285e-1041-4e9d-9803-ef98f8badfde;EkaterinA;1989821593
37d15c1a-ccd5-4dc8-9253-a507aabc094f;Lubov';33260965200
3148d01f-5e45-4cf0-91d1-e5821a030ae7;PetrI;1741918233
